subj,act,startFrame,endFrame
S01,Trial-FigureofEight-1,1144,7613
S01,Trial-FigureofEight-2,1163,8000
S01,Trial-Fivemin-1,1118,34508
S01,Trial-Fivemin-2,1167,37076
S01,Trial-Static-1,-1,-1
S01,Trial-Walk-1,1155,2330
S01,Trial-Walk-2,1163,2219
S01,Trial-Zigzag-1,1148,8856
S01,Trial-Zigzag-2,1187,8529
S02,Trial-FigureofEight-1,1097,7462
S02,Trial-FigureofEight-2,1134,7616
S02,Trial-Fivemin-1,1141,31753
S02,Trial-Fivemin-2,1152,31571
S02,Trial-Static-1,-1,-1
S02,Trial-Walk-1,1120,2074
S02,Trial-Walk-2,1134,2143
S02,Trial-Zigzag-1,1098,7385
S02,Trial-Zigzag-2,1126,7612
S04,Trial-FigureofEight-1,1150,7850
S04,Trial-FigureofEight-2,1100,6975
S04,Trial-Fivemin-1,1060,31881
S04,Trial-Fivemin-2,1150,32420
S04,Trial-Static-1,-1,-1
S04,Trial-Walk-1,1080,1878
S04,Trial-Walk-2,1061,1873
S04,Trial-Zigzag-1,1075,7840
S04,Trial-Zigzag-2,1075,7520
S05,Trial-FigureofEight-1,1069,7229
S05,Trial-FigureofEight-2,1083,7216
S05,Trial-Fivemin-1,1118,31696
S05,Trial-Fivemin-2,1156,32561
S05,Trial-Static-1,-1,-1
S05,Trial-Walk-1,1123,1857
S05,Trial-Walk-2,665,1380
S05,Trial-Zigzag-1,1125,7508
S05,Trial-Zigzag-2,1107,7429
S06,Trial-FigureofEight-1,1078,7490
S06,Trial-FigureofEight-2,1086,7154
S06,Trial-Fivemin-1,1149,33194
S06,Trial-Fivemin-2,1099,31746
S06,Trial-Static-1,-1,-1
S06,Trial-Walk-1,1101,1916
S06,Trial-Walk-2,1069,1873
S06,Trial-Zigzag-1,1109,7347
S06,Trial-Zigzag-2,1098,7500
S07,Trial-FigureofEight-1,1128,7731
S07,Trial-FigureofEight-2,1066,7552
S07,Trial-Fivemin-1,1111,34381
S07,Trial-Fivemin-2,1100,31758
S07,Trial-Static-1,-1,-1
S07,Trial-Walk-1,1090,2037
S07,Trial-Walk-2,1058,1994
S07,Trial-Zigzag-1,1100,7357
S07,Trial-Zigzag-2,1065,7535
S08,Trial-FigureofEight-1,1095,7573
S08,Trial-FigureofEight-2,1078,7570
S08,Trial-Fivemin-1,1063,31962
S08,Trial-Fivemin-2,1158,31462
S08,Trial-Static-1,-1,-1
S08,Trial-Walk-1,1054,1846
S08,Trial-Walk-2,1092,1877
S08,Trial-Zigzag-1,1024,6658
S08,Trial-Zigzag-2,1032,7382
S09,Trial-FigureofEight-1,1122,7680
S09,Trial-FigureofEight-2,1075,8610
S09,Trial-Fivemin-1,1125,32113
S09,Trial-Fivemin-2,1050,34226
S09,Trial-Static-1,-1,-1
S09,Trial-Walk-1,1098,2135
S09,Trial-Walk-2,1122,2106
S09,Trial-Zigzag-1,1120,8446
S09,Trial-Zigzag-2,1205,8687
S10,Trial-FigureofEight-1,1093,7738
S10,Trial-FigureofEight-2,1070,7261
S10,Trial-Fivemin-1,1289,32114
S10,Trial-Fivemin-2,1174,31349
S10,Trial-Static-1,-1,-1
S10,Trial-Walk-1,1130,2154
S10,Trial-Walk-2,1120,1919
S10,Trial-Zigzag-1,1090,7313
S10,Trial-Zigzag-2,1091,8243
